quote;rating;date;fullrev;Hotel;Region;Location;hotelid;Naslov;Lat;Long
Decent accommodation for decent price;3;2.04.2015;With a potential to be the best hotel in Koper...it is a bit disappointing that the lack of investments in old infrastructure made this place average at best or bellow par if you are going to be really picky. Believe me when I say that I know this place very well. I almost lived in this hotel for a year (Monday to Friday every week). At this time I am a frequent guest (at least two nights every two weeks). I thing I was staying in every room that they have. :)Although hotel has *** star rating not all the rooms deserve that rating (quality of the rooms are not even remotely the same). They basically have three wings. Eastern one (the oldest one with worst rooms) has two floors and the rooms are the oldest, smallest and least comfortable. I avoid this wing (so should you). Frequent guests of this part of the hotels are organised groups (usually children or teenagers who are coming to Koper as a part of prearranged sport events or training...cycling clubs/swimming clubs/football teams...). There is a lot of noise there and you will not get much sleep staying there. Western wing is the highest part of the hotel (5 floors) and is located above the pool and aquapark. If you are here for a longer time (week or so) and if you are visiting this place because of the aquapark this is the best place to stay. Rooms are a bit updated (in comparison with those in eastern wing) and most definitely bigger so you will have much more comfort in this part of the hotel. The second benefit is that you are located just above aquapark so you would not have a long commute from your room to the pools (especially important if you are staying here during winter). Still you can find some teenage or children crews/teams accommodated here during year...so if you are seeking for a tranquility and peace it might not be the best place for you to stay. And finally there is the most eastern part of the hotel looking at hotel dining room. This is by far the best part of the hotel. Rooms there are fully updated with the most modern amenities. Rooms are modern and spacious, bathrooms are the finest you can find in this institution. There are no children/teenage groups in this part of hotel so level of noise is pretty low there and you can have your peace. Dining hall is really near also and the only disadvantage is that tis part is the farthest from the aquapark. Rooms in this wing are starting with number 6 (601, 602...) but they are actually on the ground level (and not on the 6th floor as one could expect). If you want to book this room go to any big booking online service and search for rooms in Zusterna, Koper declared as Superior room with flat TV (you should get this modernized ones this way and the price should be 70 to 85 EUR for single stay).You can have free WiFi in hotel lobby and in some rooms (which are close to the hotel lobby or hotel dining hall).Aquapark is worth visiting (especially because of the fact that it is free for hotel guests). It is not the biggest water park you have seen but it as basically all you need. Outside part of the aquapark has three pools (one for the children and one with the waves) and inside part of the aquapark has four pools (one big with heated sea water, and three smaller with regular water all heated, there are four whirlpools inside also). Aquapark is clean and well maintained. Main disadvantage is that if you are coming here during summer season especially during weekends or national holidays chances are it is going to be crowded so you will not enjoy as much you could if there would be less people fighting for their space in one of the pools.Hotel has a SPA area...actually two SPA areas. One (smaller) is located in the most eastern part of the hotel and offers Thai massages to the guests. Other (bigger) is located next to aquapark and offers four saunas (Finnish, Turkish, infrared and relax) one whirlpool and one shallow pool with water massage. All the amenities in SPA areas are not included in room/stay fee and you will pay extra for them. In my opinion part with saunas is well worth visiting. It is not the best I have seen but for 14 EUR per person it offers a lot and is well worth the money (especially taking in consideration that there are no time limit for hotel guests).Hotel has parking garage which is free for hotel guests which is a benefit since two other biggest hotels in Koper do not have parking space for your car. On the other hand those other two hotels are centrally located and hotel Zusterna is around 2 km from city center (15 to 20 minutes walking distance).Best meal of the day is breakfast so in my opinion you could go for bed+breakfast and have your lunch or dinner or both somewhere else. Lunch and dinners are blunt and of low quality (buffet type with old fashioned and all but decent dining experience). You have a lot of places in Koper where you can eat much better for the same amount of money.Personnel is frequently changed here and this fact is what brings level of customer experience bit down (because you constantly have people learning here and especially during peak seasons/parts of the year this can drive you a bit crazy). Cleaning service is the worst part of personnel team. The quality of their work is inconsistent, they are intrusive and usually do not respect guests privacy.You have two good restaurants in close proximity (one is pizza/pasta place and the other is a place which offers a local food in which grilled meat prevails) and I can highly recommend both of them.To conclude...if you (for some reason which is still not understandable to me) choose Koper as the place of your summer or any kind of vacation it would be a fair guess to say that this is the best place you can stay here especially if you are with children and aiming to spent most of your time in aquapark. Just make sure that you are getting updated rooms and organize yourself lunch/dinner somewhere else.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
nice spa hotel;4;9.08.2014;Its, nice 3 star hotel, with good animation pool time, nice pools, spa, and position. Good position 15 min. from center of Kopar, nice little town. Stuff is nice and helpfull. Free garage and beach.Food is nice and drinks too.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Not bad;3;27.02.2014;Not bad for *** hotel. Free garage parking, wifi, electronic locking system, big pool with sea water and normal water, waterslide,... Not so big food choice but the food is good. Its not so far from izola and koper. Its close to excellent NIMIS pizzerija and grill house. Rooms are not very big but big enough. Air condition isnt working.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Nothing special;2;15.11.2013;Well the hotel has an excellent location but that's it. The room i was located in was in very bad shape and very cold. The hotel is old and not very well maintained but clean. Staff of the hotel are pleasant and helpful but this is almost the only above standard issue in this facility.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Be careful;2;15.08.2013;We stayed 5 nights here. We found bugs in the room, reported to the reception, nothing happened. The room size was ok, we also had a balcony of a decent size. The aquapark is clean, but a lot smaller than expected. The cleaning staff is very superficial, not to mention entering the room at 8 am with their key without even knocking. This hotel has 3 stars but doesn't deserve more than 2.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Despite the terrible reviews...;2;1.05.2013;We just spent the night in this hotel.I did not read all the terrible reviews about bugs in advance, otherwise I wold never have slept there.Our room was clean and not so small.A little old but the bathroom was newer.We had some trouble with the door so I had to came back to the reception two times (quite a journey from the rooms) the receptionist has benn really nice: she changed our room and offered a free dinner.I have to say that we preferred to eat in the city because the menu was not tempting (nor the smell). However breakfast was good.I would not recommend it, but it was not so terrible.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
You get what you pay for;3;8.04.2013;Before we booked this hotel I was looking on their official web site some pictures and information.There is clearly explained: the size of all types of rooms (in square meters) and equipment of each room. When we got there we got exactly what we paid for.We booked a room with balcony: it was medium size. The room was cleaned daily, the towels were changed every day. We didn't have wifi in the rooms ( we knew that before the arrival from the description of the rooms ).The food was good, but the choice was poor. The hotel staff was polite and helpful.The pools were clean, with warm water and our 4 year old san had a great fun.City beach is opposite the hotel . One part is made of concrete and the other , smaller part is rocky , and it was crowded during the day.Koper is a beautiful city. Peacful, quiet and with impressive architecture.The overall impression : it’s a average three-star hotel.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Once great, going down fast..;4;26.01.2013;Great location and good facilities. The rooms (bungalows) were as expected, but very quiet and peaceful. The restaurant was very good, and with an international flair. I must say the whole feel of the place has altered greatly in the last 25 years. Once a family and general oriented place of paradise proportions, now merely a place for stupid kids having a rampage.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
only bad hostel;1;27.10.2012;It is obviously they rent rooms for youth on school excursions etc. Therefore hotel is broken also rooms and corridor. Bathroom is very old. Food is disaster no taste and a lot of grease, choice is pour. Even breakfast is bad. Nearby is very loud disco and and loud main road. Staff is old and not updated with modern school, kindness and good service. This could not be a vacation to rest.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
worst hotel ever!!!!! stay away!!!!;1;4.08.2012;a horrible hotel.i don't know where to begin.. rooms are tiny not suitble even for two.everything is old and broken. the rooms are very far from the lift. no wifi in the rooms!!!no baterries in the tv remote control and the AC.the staff are rude and unpleasent.matress is the worse kind i have come across.Need i say more??STAY AWAY!!;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
spa 3 days;3;1.05.2012;I was in this hotel during the summer and in winter,as if I visited two different hotels. Summer is still much better to come here for a visit. In winter, my main problem was that it was still cold in the room and the pool, so when you come out of the water known to be cold, it must be worn bathrobe. During the summer more pleasant outdoor pools are open that are clean and spacious. Although the street noise is not a great blouse. Food is self service and not bad for three days but not bored. I used the action for 3 days and booked through their website, pay at the hotel reception when leave. On the ground floor there is garage for hotel guests and is free, with ramp to get the cards at the reception. Hotel is old, it is seen that the renovated, but the concept I think they did maximum what could be done to improve it. I was satisfied with the hygiene, towels are changed, we get hygiene products.It is close to Italy, 15 minutes by car to Trieste, shooping is possible in a large shopping center in Koper. See is not very nice, is close to major cargo port, the beach is mostly concrete and stone. Better to go to Portorož swimming and fun. In the hotel there, and casino. Indoor swimming pool has a salt water.Rooms are medium in size, I was placed above the restaurant and the rooms are nicer than in the annex above the pool.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Good service, good price, nice poolarea;5;1.04.2012;Perfect vacation for familiies,we are going back for the third time this summer.good value for your money. Most of the staff speaks english and they are wery helpfull. We stay in the appartments and they are fresch and wellequippped. The hotel is a perfect startinngpoint if you to get acces to all the nice coastaltowns aswell as the capital ljubljana. Within one hour if driving you reach many interestibg sites such as the postojna caves, lipitza horsefarm ljubljana or even pula in croatia wich has an exact copy of the colliseum in rome alltjoug smaller. I strongly recomend this hotel.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Close your eyes and stay;2;23.02.2012;Far worse than expected. The hospitality staff is great, but the rooms were disappointing, the food is also scarce, and even swimming pools are not God knows better, this place just for people looking for overnight or what school excursions. For people who still want the service for which they paid, do not suggest that is far below that.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Never again!;1;18.06.2011;My father was eaten by bugs from a dog. The whole was a red papules from head to toe. The manager of the hotel took anything though neatly written complaint, to reimburse medical damage. My dad had to drive back to Macedonia 1200km in one breath to quickly call the doctor in Macedonia thus at risk our whole family.Do not try to respond to our requests to us orally and in writing we were not polite not like Slovenia and the European Union. I recommend those who want to stay in this hotel to bear against powder beetles. The food was bad and tasteless but frankly the pool party was great.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
NEVER to come back!;1;11.01.2011;The rooms are smelly and dirty, like pretty much the saunas and the pool facilities. Food very dissapointing, sorry to say: digusting! If you have half a standard do not ever nerver think of staying in this hotel, night or day.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
Nice place for family leisure;4;29.07.2010;Nice and clean hotel, especially WC in the inner and outer part of swimming pool. Food is excellent and fresh, I mostly like salads. There is game-room for children, little cars (my 3-year old child adoreslittle cars!). Swimming pools are warm and perfectly clean, my child liked all of it, but my husband and I liked the most the biggest pool with see water. I also liked underwater massage in big pools and jacuzzi. For completely relaxation you have spa center. If you travel by car, take a bicycle too, because Slovenian cost has the most beautiful bicycle road from Koper to Piran (they reconstructed old train road).I recommend one-day trip by catamaran to Venice from Izola (you have to check-in at travel agency KOMPAS in Pristaniska street in Koper) which costs 70 euros per person. City of Piran is great, you can go by air-conditioned bus (Koper-Piran line) for 3 euros, bus station is in front of Zusterna hotel. One must see Postojna Cave, too.We'll come to Slovenia next summer again, maybe to this hotel again.;Aquapark Zusterna Hotel;Slovenija;Seaside;SlovenijaMorjeAquaparkZusternaHotel;Istrska cesta 67, Koper 6000, Slovenia;45.5457202;13.7100541
